"id","X","tag_plate","location","value","PID","timepoint","PID_timepoint","empty_well"
"Plate_2_D2",107,"Plate_2","D2","HSA0830_D2","HSA0830","HSA","HSA0830",FALSE
"Plate_2_D3",115,"Plate_2","D3","HSA0830_D3","HSA0830","HSA","HSA0830",FALSE
"Plate_2_D4",123,"Plate_2","D4","HSA0830_D4","HSA0830","HSA","HSA0830",FALSE
"Plate_2_D5",131,"Plate_2","D5","HSA0830_D5","HSA0830","HSA","HSA0830",FALSE
"Plate_2_D6",139,"Plate_2","D6","HSA0830_D6","HSA0830","HSA","HSA0830",FALSE
"Plate_2_D7",147,"Plate_2","D7","HSA0830_D7","HSA0830","HSA","HSA0830",FALSE
"Plate_2_D8",155,"Plate_2","D8","HSA0830_D8","HSA0830","HSA","HSA0830",FALSE
"Plate_2_D9",163,"Plate_2","D9","HSA0830_D9","HSA0830","HSA","HSA0830",FALSE
"Plate_2_E10",172,"Plate_2","E10","HSA0830_E10","HSA0830","HSA","HSA0830",FALSE
"Plate_2_E11",180,"Plate_2","E11","HSA0830_E11","HSA0830","HSA","HSA0830",FALSE
"Plate_2_E12",188,"Plate_2","E12","HSA0830_E12","HSA0830","HSA","HSA0830",FALSE
"Plate_2_E1",100,"Plate_2","E1","HSA0830_E1","HSA0830","HSA","HSA0830",FALSE
"Plate_2_E2",108,"Plate_2","E2","HSA0830_E2","HSA0830","HSA","HSA0830",FALSE
"Plate_2_E3",116,"Plate_2","E3","HSA0830_E3","HSA0830","HSA","HSA0830",FALSE
"Plate_2_E4",124,"Plate_2","E4","HSA0830_E4","HSA0830","HSA","HSA0830",FALSE
"Plate_2_E5",132,"Plate_2","E5","HSA0830_E5","HSA0830","HSA","HSA0830",TRUE
"Plate_2_E6",140,"Plate_2","E6","HSA0830_E6","HSA0830","HSA","HSA0830",FALSE
"Plate_2_E7",148,"Plate_2","E7","HSA0830_E7","HSA0830","HSA","HSA0830",FALSE
"Plate_2_E8",156,"Plate_2","E8","HSA0830_E8","HSA0830","HSA","HSA0830",TRUE
"Plate_2_E9",164,"Plate_2","E9","HSA0830_E9","HSA0830","HSA","HSA0830",FALSE
"Plate_2_F10",173,"Plate_2","F10","HSA0830_F10","HSA0830","HSA","HSA0830",FALSE
"Plate_2_F11",181,"Plate_2","F11","HSA0830_F11","HSA0830","HSA","HSA0830",FALSE
"Plate_2_F12",189,"Plate_2","F12","HSA0830_F12","HSA0830","HSA","HSA0830",FALSE
"Plate_2_F1",101,"Plate_2","F1","HSA0830_F1","HSA0830","HSA","HSA0830",TRUE
"Plate_2_F2",109,"Plate_2","F2","HSA0830_F2","HSA0830","HSA","HSA0830",FALSE
"Plate_2_F3",117,"Plate_2","F3","HSA0830_F3","HSA0830","HSA","HSA0830",FALSE
"Plate_2_F4",125,"Plate_2","F4","HSA0830_F4","HSA0830","HSA","HSA0830",FALSE
"Plate_2_F5",133,"Plate_2","F5","HSA0830_F5","HSA0830","HSA","HSA0830",FALSE
"Plate_2_F6",141,"Plate_2","F6","HSA0830_F6","HSA0830","HSA","HSA0830",FALSE
"Plate_2_F7",149,"Plate_2","F7","HSA0830_F7","HSA0830","HSA","HSA0830",FALSE
"Plate_2_F8",157,"Plate_2","F8","HSA0830_F8","HSA0830","HSA","HSA0830",FALSE
"Plate_2_F9",165,"Plate_2","F9","HSA0830_F9","HSA0830","HSA","HSA0830",FALSE
"Plate_2_G10",174,"Plate_2","G10","HSA0830_G10","HSA0830","HSA","HSA0830",FALSE
"Plate_2_G11",182,"Plate_2","G11","HSA0830_G11","HSA0830","HSA","HSA0830",FALSE
"Plate_2_G12",190,"Plate_2","G12","HSA0830_G12","HSA0830","HSA","HSA0830",FALSE
