Sample	Unique Reads	Duplicate Reads
qc | fastqc-novaseq | Plate_1_D12_22NG7YLT3_S759_L008_R2_001	184154.0	477002.0
qc | fastqc-novaseq | Plate_1_D1_22NG7YLT3_S4_L008_R1_001	149235.0	472229.0
qc | fastqc-novaseq | Plate_1_D1_22NG7YLT3_S4_L008_R2_001	169343.0	452121.0
qc | fastqc-novaseq | Plate_1_D2_22NG7YLT3_S76_L008_R1_001	86938.0	206405.0
qc | fastqc-novaseq | Plate_1_D2_22NG7YLT3_S76_L008_R2_001	100114.0	193229.0
qc | fastqc-novaseq | Plate_1_D3_22NG7YLT3_S148_L008_R1_001	146362.0	468815.0
qc | fastqc-novaseq | Plate_1_D3_22NG7YLT3_S148_L008_R2_001	166113.0	449064.0
qc | fastqc-novaseq | Plate_1_D4_22NG7YLT3_S220_L008_R1_001	140989.0	442912.0
qc | fastqc-novaseq | Plate_1_D4_22NG7YLT3_S220_L008_R2_001	158407.0	425494.0
qc | fastqc-novaseq | Plate_1_D5_22NG7YLT3_S292_L008_R1_001	26258.0	36969.0
qc | fastqc-novaseq | Plate_1_D5_22NG7YLT3_S292_L008_R2_001	27531.0	35696.0
qc | fastqc-novaseq | Plate_1_D6_22NG7YLT3_S364_L008_R1_001	142986.0	314969.0
qc | fastqc-novaseq | Plate_1_D6_22NG7YLT3_S364_L008_R2_001	147778.0	310177.0
qc | fastqc-novaseq | Plate_1_D7_22NG7YLT3_S436_L008_R1_001	8550.0	28170.0
qc | fastqc-novaseq | Plate_1_D7_22NG7YLT3_S436_L008_R2_001	9240.0	27480.0
qc | fastqc-novaseq | Plate_1_D8_22NG7YLT3_S503_L008_R1_001	83962.0	128477.0
qc | fastqc-novaseq | Plate_1_D8_22NG7YLT3_S503_L008_R2_001	93483.0	118956.0
qc | fastqc-novaseq | Plate_1_D9_22NG7YLT3_S567_L008_R1_001	134584.0	379057.0
qc | fastqc-novaseq | Plate_1_D9_22NG7YLT3_S567_L008_R2_001	149815.0	363826.0
qc | fastqc-novaseq | Plate_1_E10_22NG7YLT3_S632_L008_R1_001	143431.0	226432.0
qc | fastqc-novaseq | Plate_1_E10_22NG7YLT3_S632_L008_R2_001	144184.0	225679.0
qc | fastqc-novaseq | Plate_1_E11_22NG7YLT3_S696_L008_R1_001	185239.0	401032.0
qc | fastqc-novaseq | Plate_1_E11_22NG7YLT3_S696_L008_R2_001	183032.0	403239.0
qc | fastqc-novaseq | Plate_1_E12_22NG7YLT3_S760_L008_R1_001	261392.0	450702.0
qc | fastqc-novaseq | Plate_1_E12_22NG7YLT3_S760_L008_R2_001	251720.0	460374.0
qc | fastqc-novaseq | Plate_1_E1_22NG7YLT3_S5_L008_R1_001	161231.0	467434.0
qc | fastqc-novaseq | Plate_1_E1_22NG7YLT3_S5_L008_R2_001	161937.0	466728.0
qc | fastqc-novaseq | Plate_1_E2_22NG7YLT3_S77_L008_R1_001	98168.0	115364.0
qc | fastqc-novaseq | Plate_1_E2_22NG7YLT3_S77_L008_R2_001	98268.0	115264.0
qc | fastqc-novaseq | Plate_1_E3_22NG7YLT3_S149_L008_R1_001	129987.0	372481.0
qc | fastqc-novaseq | Plate_1_E3_22NG7YLT3_S149_L008_R2_001	142708.0	359760.0
qc | fastqc-novaseq | Plate_1_E4_22NG7YLT3_S221_L008_R1_001	130916.0	383971.0
qc | fastqc-novaseq | Plate_1_E4_22NG7YLT3_S221_L008_R2_001	136018.0	378869.0
qc | fastqc-novaseq | Plate_1_E5_22NG7YLT3_S293_L008_R1_001	127597.0	251548.0
qc | fastqc-novaseq | Plate_1_E5_22NG7YLT3_S293_L008_R2_001	134307.0	244838.0
qc | fastqc-novaseq | Plate_1_E6_22NG7YLT3_S365_L008_R1_001	132177.0	256452.0
qc | fastqc-novaseq | Plate_1_E6_22NG7YLT3_S365_L008_R2_001	128470.0	260159.0
qc | fastqc-novaseq | Plate_1_E7_22NG7YLT3_S437_L008_R1_001	75396.0	107635.0
qc | fastqc-novaseq | Plate_1_E7_22NG7YLT3_S437_L008_R2_001	76608.0	106423.0
qc | fastqc-novaseq | Plate_1_E8_22NG7YLT3_S504_L008_R1_001	93849.0	125367.0
qc | fastqc-novaseq | Plate_1_E8_22NG7YLT3_S504_L008_R2_001	98902.0	120314.0
qc | fastqc-novaseq | Plate_1_E9_22NG7YLT3_S568_L008_R1_001	96208.0	278380.0
qc | fastqc-novaseq | Plate_1_E9_22NG7YLT3_S568_L008_R2_001	101279.0	273309.0
qc | fastqc-novaseq | Plate_1_F10_22NG7YLT3_S633_L008_R1_001	141656.0	288938.0
qc | fastqc-novaseq | Plate_1_F10_22NG7YLT3_S633_L008_R2_001	146149.0	284445.0
qc | fastqc-novaseq | Plate_1_F11_22NG7YLT3_S697_L008_R1_001	218540.0	691332.0
qc | fastqc-novaseq | Plate_1_F11_22NG7YLT3_S697_L008_R2_001	288160.0	621712.0
qc | fastqc-novaseq | Plate_1_F12_22NG7YLT3_S761_L008_R1_001	165052.0	406442.0
qc | fastqc-novaseq | Plate_1_F12_22NG7YLT3_S761_L008_R2_001	169773.0	401721.0
qc | fastqc-novaseq | Plate_1_F1_22NG7YLT3_S6_L008_R1_001	11637.0	10188.0
qc | fastqc-novaseq | Plate_1_F1_22NG7YLT3_S6_L008_R2_001	11369.0	10456.0
qc | fastqc-novaseq | Plate_1_F2_22NG7YLT3_S78_L008_R1_001	100484.0	194829.0
qc | fastqc-novaseq | Plate_1_F2_22NG7YLT3_S78_L008_R2_001	101910.0	193403.0
qc | fastqc-novaseq | Plate_1_F3_22NG7YLT3_S150_L008_R1_001	160087.0	487793.0
qc | fastqc-novaseq | Plate_1_F3_22NG7YLT3_S150_L008_R2_001	177161.0	470719.0
qc | fastqc-novaseq | Plate_1_F4_22NG7YLT3_S222_L008_R1_001	138986.0	454496.0
qc | fastqc-novaseq | Plate_1_F4_22NG7YLT3_S222_L008_R2_001	156203.0	437279.0
qc | fastqc-novaseq | Plate_1_F5_22NG7YLT3_S294_L008_R1_001	125297.0	413477.0
qc | fastqc-novaseq | Plate_1_F5_22NG7YLT3_S294_L008_R2_001	140101.0	398673.0
qc | fastqc-novaseq | Plate_1_F6_22NG7YLT3_S366_L008_R1_001	143742.0	387635.0
qc | fastqc-novaseq | Plate_1_F6_22NG7YLT3_S366_L008_R2_001	154819.0	376558.0
qc | fastqc-novaseq | Plate_1_F7_22NG7YLT3_S438_L008_R1_001	50025.0	77723.0
qc | fastqc-novaseq | Plate_1_F7_22NG7YLT3_S438_L008_R2_001	54662.0	73086.0
qc | fastqc-novaseq | Plate_1_F8_22NG7YLT3_S505_L008_R1_001	78250.0	129040.0
qc | fastqc-novaseq | Plate_1_F8_22NG7YLT3_S505_L008_R2_001	85408.0	121882.0
qc | fastqc-novaseq | Plate_1_F9_22NG7YLT3_S569_L008_R1_001	130121.0	418134.0
qc | fastqc-novaseq | Plate_1_F9_22NG7YLT3_S569_L008_R2_001	143215.0	405040.0
qc | fastqc-novaseq | Plate_1_G10_22NG7YLT3_S634_L008_R1_001	100465.0	280391.0
qc | fastqc-novaseq | Plate_1_G10_22NG7YLT3_S634_L008_R2_001	104134.0	276722.0
qc | fastqc-novaseq | Plate_1_G11_22NG7YLT3_S698_L008_R1_001	141976.0	412477.0
qc | fastqc-novaseq | Plate_1_G11_22NG7YLT3_S698_L008_R2_001	157409.0	397044.0
qc | fastqc-novaseq | Plate_1_G12_22NG7YLT3_S762_L008_R1_001	146749.0	536095.0
qc | fastqc-novaseq | Plate_1_G12_22NG7YLT3_S762_L008_R2_001	165526.0	517318.0
qc | fastqc-novaseq | Plate_1_G1_22NG7YLT3_S7_L008_R1_001	133582.0	486872.0
qc | fastqc-novaseq | Plate_1_G1_22NG7YLT3_S7_L008_R2_001	146189.0	474265.0
qc | fastqc-novaseq | Plate_1_G2_22NG7YLT3_S79_L008_R1_001	97555.0	200268.0
qc | fastqc-novaseq | Plate_1_G2_22NG7YLT3_S79_L008_R2_001	101229.0	196594.0
qc | fastqc-novaseq | Plate_1_G3_22NG7YLT3_S151_L008_R1_001	119221.0	434029.0
qc | fastqc-novaseq | Plate_1_G3_22NG7YLT3_S151_L008_R2_001	133668.0	419582.0
qc | fastqc-novaseq | Plate_1_G4_22NG7YLT3_S223_L008_R1_001	134831.0	508659.0
qc | fastqc-novaseq | Plate_1_G4_22NG7YLT3_S223_L008_R2_001	164751.0	478739.0
qc | fastqc-novaseq | Plate_1_G5_22NG7YLT3_S295_L008_R1_001	154695.0	446681.0
qc | fastqc-novaseq | Plate_1_G5_22NG7YLT3_S295_L008_R2_001	165368.0	436008.0
qc | fastqc-novaseq | Plate_1_G6_22NG7YLT3_S367_L008_R1_001	167109.0	434278.0
qc | fastqc-novaseq | Plate_1_G6_22NG7YLT3_S367_L008_R2_001	175918.0	425469.0
qc | fastqc-novaseq | Plate_1_G7_22NG7YLT3_S439_L008_R1_001	56856.0	118656.0
qc | fastqc-novaseq | Plate_1_G7_22NG7YLT3_S439_L008_R2_001	67044.0	108468.0
qc | fastqc-novaseq | Plate_1_G8_22NG7YLT3_S506_L008_R1_001	83779.0	118542.0
qc | fastqc-novaseq | Plate_1_G8_22NG7YLT3_S506_L008_R2_001	87879.0	114442.0
qc | fastqc-novaseq | Plate_1_G9_22NG7YLT3_S570_L008_R1_001	77119.0	290607.0
qc | fastqc-novaseq | Plate_1_G9_22NG7YLT3_S570_L008_R2_001	88626.0	279100.0
qc | fastqc-novaseq | Plate_1_H10_22NG7YLT3_S635_L008_R1_001	101013.0	340289.0
qc | fastqc-novaseq | Plate_1_H10_22NG7YLT3_S635_L008_R2_001	103600.0	337702.0
qc | fastqc-novaseq | Plate_1_H11_22NG7YLT3_S699_L008_R1_001	162180.0	594206.0
qc | fastqc-novaseq | Plate_1_H11_22NG7YLT3_S699_L008_R2_001	167677.0	588709.0
qc | fastqc-novaseq | Plate_1_H12_22NG7YLT3_S763_L008_R1_001	192463.0	733907.0
qc | fastqc-novaseq | Plate_1_H12_22NG7YLT3_S763_L008_R2_001	174695.0	751675.0
qc | fastqc-novaseq | Plate_1_H1_22NG7YLT3_S8_L008_R1_001	116660.0	467014.0
qc | fastqc-novaseq | Plate_1_H1_22NG7YLT3_S8_L008_R2_001	132569.0	451105.0
qc | fastqc-novaseq | Plate_1_H2_22NG7YLT3_S80_L008_R1_001	67777.0	196579.0
qc | fastqc-novaseq | Plate_1_H2_22NG7YLT3_S80_L008_R2_001	78015.0	186341.0
qc | fastqc-novaseq | Plate_1_H3_22NG7YLT3_S152_L008_R1_001	123051.0	482973.0
